parametres,methode_reduction,kernel,accuracy_train,accuracy_test,duree
Par défaut,ACP,linear,0.9203980099502488,0.8208955223880597,0.693162202835083
Par défaut,ACP,rbf,0.9154228855721394,0.8656716417910447,0.005985260009765625
Par défaut,NMF,linear,0.900497512437811,0.8507462686567164,0.003973960876464844
Par défaut,NMF,rbf,0.9303482587064676,0.835820895522388,0.004987001419067383
Par défaut,No Reduction,linear,1.0,0.8805970149253731,0.7310090065002441
Par défaut,No Reduction,rbf,0.9253731343283582,0.8507462686567164,1.0432460308074951
Best estimator ACP,ACP,linear,0.9154228855721394,0.8059701492537313,0.04392552375793457
Best estimator NMF,NMF,rbf,0.9253731343283582,0.8208955223880597,0.007978439331054688
Best estimator No Reduction,No Reduction,linear,0.9253731343283582,0.8507462686567164,1.1291227340698242
